name	definition	wikidata	cf_name	hydro
Chlorophyll a, corrected for pheophytin	Chlorphyll a corrected for pheophytin			
Chlorophyll a, uncorrected for pheophytin	Chlorophyll a uncorrected for pheophytin			
Chlorophyll b	Chlorophyll b			
Chlorophyll c	Chlorophyll c			
Chlorophyll c1 and c2	Chlorophyll c1 and c2			
Chlorophyll fluorescence	Chlorophyll Fluorescence			
Chromium	Chromium is a chemical element with symbol Cr and atomic number 24. It is the first element in group 6. It is a steely-grey, lustrous, hard and brittle transition metal. Chromium boasts a high usage rate as a metal that is able to be highly polished while resisting tarnishing. Chromium is also the main component of stainless steel, a popular steel alloy due to its uncommonly high specular reflection. Simple polished chromium reflects almost 70% of the visible spectrum, with almost 90% of infrared light waves being reflected. The name of the element is derived from the Greek word χρῶμα, chrōma, meaning color, because many chromium compounds are intensely colored. 			
Chromium (III)	Trivalent Chromium			
Chromium (VI)	Hexavalent Chromium			
Chromium (VI), dissolved	Dissolved Hexavalent Chromium			
Chromium, dissolved	Dissolved Chromium			
Chromium, distribution coefficient	Ratio of concentrations of chromium in two phases in equilibrium with each other. Phases must be specified.			
Chromium, particulate	Particulate chromium (Cr) in suspension			
Chromium, total	Total chromium (Cr). Total indicates was measured on a whole water (unfiltered) sample.			
Chrysene	Chrysene (C18H12), a polycyclic aromatic hydrocarbon (PAH)			
Circumference	In geometry, the circumference (from Latin circumferens, meaning "carrying around") of a circle is the (linear) distance around it. That is, the circumference would be the length of the circle if it were opened up and straightened out to a line segment. Since a circle is the edge (boundary) of a disk, circumference is a special case of perimeter. The perimeter is the length around any closed figure and is the term used for most figures excepting the circle and some circular-like figures such as ellipses. Informally, "circumference" may also refer to the edge itself rather than to the length of the edge.			
cis-1,2-Dichloroethene	cis-1,2-Dichloroethene (C2H2Cl2)			
cis-1,3-Dichloropropene	cis-1,3-Dichloropropene (C3H4Cl2)			
Clay	USDA particle size distribution category. Less then 0.002 mm diameter fine earth particles.  			
Clinoptilolite	Clinoptilolite is a natural zeolite comprising a microporous arrangement of silica and alumina tetrahedra. It has the complex formula: (Na,K,Ca)2-3Al3(Al,Si)2Si13O36·12H2O. 			
Cloud cover	Cloud cover (also known as cloudiness, cloudage, or cloud amount) refers to the fraction of the sky obscured by clouds when observed from a particular location.			
Cobalt	Cobalt is a chemical element with symbol Co and atomic number 27. Like nickel, cobalt is found in the Earth's crust only in chemically combined form, save for small deposits found in alloys of natural meteoric iron. The free element, produced by reductive smelting, is a hard, lustrous, silver-gray metal.			
Cobalt, dissolved	Dissolved Cobalt (Co)			
Cobalt, total	Total Cobalt (Co)			
Cobalt-60	A synthetic radioactive isotope of cobalt with a half-life of 5.27 years.			
COD	Chemical oxygen demand			
Coliform, fecal	Fecal Coliform			
Coliform, total	Total Coliform			
Color	Color in quantified in color units			
Colored dissolved organic matter	The concentration of colored dissolved organic matter (humic substances)			
Container number	The identifying number for a water sampler container.			
Copper	Copper is a chemical element with symbol Cu and atomic number 29. It is a soft, malleable, and ductile metal with very high thermal and electrical conductivity. A freshly exposed surface of pure copper has a pinkish-orange color. Copper is used as a conductor of heat and electricity, as a building material, and as a constituent of various metal alloys, such as sterling silver used in jewelry, cupronickel used to make marine hardware and coins, and constantan used in strain gauges and thermocouples for temperature measurement.			
Copper, dissolved	Dissolved Copper (Cu)			
Copper, distribution coefficient	Ratio of concentrations of copper in two phases in equilibrium with each other. Phases must be specified.			
Copper, particulate	Particulate copper (Cu) in suspension			
Copper, total	Total copper (Cu). "Total" indicates was measured on a whole water (unfiltered) sample.			
Count, areal	Counts per area			
Counter	The total number of events within the measurement period			
Cristobalite	The mineral cristobalite is a high-temperature polymorph of silica, meaning that it has the same chemical formula as quartz, SiO2, but a distinct crystal structure.			
Cryptophytes	The chlorophyll a concentration contributed by cryptophytes			
Curvature	Curvature of a DEM measures the shape or curvature of the slope. A part of a surface can be concave or convex; you can tell that by looking at the curvature value. The curvature is calculated by computing the second derivative of the surface.			
Cuscuta spp. coverage	Areal coverage of the plant Cuscuta spp.			
Cyanide	Cyanide (CN)			
Cyclohexane	Cyclohexane (C6H6Cl6)			
Cytochrome P450, family 1, subfamily A, polypeptide 1, delta cycle threshold	Delta cycle threshold for Cytochrome P450, family 1, subfamily A, polypeptide 1 (cyp1a1). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for cyp1a1 is the difference between the cycle threshold (Ct) of cyp1a1 gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin).			
Cytosolic protein	The total protein concentration within the cytosolic fraction of cells. The cytosol refers to the intracellular fluid or cytoplasmic matrix of a eukaryotic cell.			
d-Limonene	d-Limonene (C10H16)			
Data shuttle attached	A categorical variable marking the attachment of a coupler or data shuttle to a logger. This is used for quality control.			
Data shuttle detached	A categorical variable marking the detatchment of a coupler or data shuttle to a logger. This is used for quality control.			
delta-13C of C2H6	Isotope 13C of ethane			
delta-13C of C3H8	Isotope 13C of propane			
delta-13C of C4H10	Isotope 13C of butane			
delta-13C of CH4	Isotope 13C of methane			
delta-13C of CO2	Isotope 13C of carbon dioxide			
delta-13C of DIC	Isotope 13C of dissolved inorganic carbon (DIC)			
delta-18O of H2O	Isotope 18O of water			
delta-D of CH4	hydrogen isotopes of methane			
delta-D of H2O	hydrogen isotopes of water			
Density	Density			
Depth	The perpendicular measurement downward from a surface			
Depth, snow	Depth of snow			
Depth, soil 	Depth of soil			
Depth, unsaturated zone 	Depth of the Unsaturated zone. The vadose zone, also termed the unsaturated zone, is the part of Earth between the land surface and the top of the phreatic zone, the position at which the groundwater (the water in the soil's pores) is at atmospheric pressure ("vadose" is from the Latin for "shallow"). Hence, the vadose zone extends from the top of the ground surface to the water table.			
Deuterium	Deuterium (2H), Delta D			
Di-n-butylphthalate	Di-n-butylphthalate (C16H22O4)			
Di-n-octyl phthalate	Di-n-octyl phthalate (C24H38O4)			
Diadinoxanthin	The phytoplankton pigment Diadinoxanthin			
Diallate (cis or trans)	Diallate (cis or trans) (C10H17Cl2NOS)			
Diameter	A diameter of a circle is any straight line segment that passes through the center of the circle and whose endpoints lie on the circle. It can also be defined as the longest chord of the circle. Both definitions are also valid for the diameter of a sphere. In more modern usage, the length of a diameter is also called the diameter. In this sense one speaks of the diameter rather than a diameter (which refers to the line itself), because all diameters of a circle or sphere have the same length, this being twice the radius r.			
Diameter at breast height (DBH)	Diameter at breast height, or DBH, is the standard for measuring trees. DBH refers to the tree diameter measured at 4.5 feet above the ground.			
Diatoxanthin	The phytoplankton pigment Diatoxanthin			
Dibenz(a,h)anthracene	Dibenz(a,h)anthracene (C22H14), a polycyclic aromatic hydrocarbon (PAH)			
Dibenzofuran	Dibenzofuran (C12H8O)			
Dibenzothiophene	Dibenzothiophene (C12H8S), a polycyclic aromatic hydrocarbon (PAH)			
Dibromochloromethane	Dibromochloromethane (CHBr2Cl)			
Dieldrin	Dieldrin (C12H8Cl6O)			
Dielectric constant	The relative permittivity of a material is its (absolute) permittivity expressed as a ratio relative to the permittivity of vacuum. Permittivity is a material property that affects the Coulomb force between two point charges in the material. Relative permittivity is the factor by which the electric field between the charges is decreased relative to vacuum. Likewise, relative permittivity is the ratio of the capacitance of a capacitor using that material as a dielectric, compared with a similar capacitor that has vacuum as its dielectric. Relative permittivity is also commonly known as dielectric constant, a term deprecated in engineering as well as in chemistry.			
Diethyl phthalate	Diethyl phthalate (C12H14O4)			
Diethylene glycol	Diethylene glycol (C4H10O3)			
Diffraction, X-ray (XRD)	X-ray crystallography (XRC) is a technique used for determining the atomic and molecular structure of a crystal, in which the crystalline structure causes a beam of incident X-rays to diffract into many specific directions.			
Diisopropyl Ether	Diisopropyl Ether (C6H14O)			
Dimethyl Phthalate	Dimethyl Phthalate (C10H10O4)			
Dimethylphenanthrene	Dimethylphenanthrene (C16H14)			
Dinoflagellates	The chlorophyll a concentration contributed by Dinoflagellates			
Dinoseb	Dinoseb (C10H12N2O5)			
Discharge	Discharge			
Distance	Distance measured from a sensor to a target object such as the surface of a water body or snow surface.			
Distichlis spicata Coverage	Areal coverage of the plant Distichlis spicata			
Disulfoton	Disulfoton (C8H19O2PS3)			
DNA damage, olive tail moment	In a single cell gel electrophoresis assay (comet assay), olive tail moment is the product of the percentage of DNA in the tail and the distance between the intesity centroids of the head and tail along the x-axis (Olive, et al., 1990)			
DNA damage, percent tail DNA	In a single cell gel electrophoresis assay (comet assay), percent tail DNA is the ratio of fluorescent intensity of the tail over the total fluorescent intensity of the head (nuclear core) and tail multiplied by 100.			
DNA damage, tail length	In a single cell gel electrophoresis assay (comet assay), tail length is the distance of DNA migration from the body of the nuclear core			
Dysprosium	Dysprosium is a chemical element with symbol Dy and atomic number 66. It is a rare earth element with a metallic silver luster. Dysprosium is never found in nature as a free element, though it is found in various minerals, such as xenotime. Naturally occurring dysprosium is composed of seven isotopes, the most abundant of which is 164Dy.			
Dysprosium, dissolved	Dissolved dysprosium (Dy). "Dissolved " indicates a the measurement was made on a filtered sample.			
E-coli	Escherichia coli			
Effective energy and mass transfer (EEMT)	Effective energy and mass transfer (EEMT) couples energy and mass flux to the subsurface in the form of effective precipitation and net primary production in a common energy unit.			
Electric Current	A flow of electric charge			
Electric Energy	Electric Energy			
Electric Power	Electric Power			
Electrical conductivity	Electrical conductivity			
End of file	A categorical variable marking the end of a data file. This is used for quality control.			
Endosulfan I (alpha)	Endosulfan I (alpha) (C9H6Cl6O3S)			
Endosulfan II (beta)	Endosulfan II (beta) (C9H6Cl6O3S)			
Endosulfan Sulfate	Endosulfan Sulfate (C9H6Cl6O4S)			
Endrin	Endrin (C12H8Cl6O)			
Endrin aldehyde	Endrin aldehyde (C12H8Cl6O)			
Endrin Ketone	Endrin Ketone (C12H9Cl5O)			
Enterococci	Enterococcal bacteria			
Erbium	Erbium is a chemical element with symbol Er and atomic number 68. A silvery-white solid metal when artificially isolated, natural erbium is always found in chemical combination with other elements. It is a lanthanide, a rare earth element, originally found in the gadolinite mine in Ytterby in Sweden, from which it got its name.			
Erbium, dissolved	Dissolved Erbium (Er). "Dissolved " indicates a the measurement was made on a filtered sample.			
Erosion rate	In earth science, erosion is the action of surface processes (such as water flow or wind) that removes soil, rock, or dissolved material from one location on the Earth's crust, and then transports it to another location (not to be confused with weathering which involves no movement).			
Ethane	Ethane			
Ethane, dissolved	Dissolved Ethane (C2H6)			
Ethanol	Ethanol (C2H6O)			
Ethoxyresorufin O-deethylase, activity	Ethoxyresorufin O-deethylase (EROD) activity			
Ethyl tert-Butyl Ether	Ethyl tert-Butyl Ether (C6H14O)			
Ethylbenzene	Ethylbenzene (C8H10)			
Ethylene	Ethylene (C2H4)			
Ethylene glycol	Ethlene Glycol (C2H4(OH)2)			
Ethylene, dissolved	Dissolved ethylene			
Ethyne	Ethyne (C2H2)			
Europium	Europium is a chemical element with symbol Eu and atomic number 63. It was isolated in 1901 and is named after the continent of Europe. It is a moderately hard, silvery metal which readily oxidizes in air and water.			
Europium, dissolved	Dissolved Europium (Eu). "Dissolved " indicates a the measurement was made on a filtered sample.			
Evaporation	Evaporation			
Evapotranspiration	Evapotranspiration			
Evapotranspiration (ET)	Evapotranspiration (ET) is the sum of evaporation and plant transpiration from the Earth's land and ocean surface to the atmosphere.			
Evapotranspiration, potential	The amount of water that could be evaporated and transpired if there was sufficient water available.			
Extracellular enzyme activity	Extracellular enzymes or exoenzymes are synthesized inside the cell and then secreted outside the cell, where their function is to break down complex macromolecules into smaller units to be taken up by the cell for growth and assimilation.			
Fish detections	The number of fish identified by the detection equipment			
Flash memory error count	A counter which counts the number of  datalogger flash memory errors			
Fluoranthene	Fluoranthene (C16H10), a polycyclic aromatic hydrocarbon (PAH)			
Fluorene	Fluorene (C13H10), a polycyclic aromatic hydrocarbon (PAH)			
Fluorescence index	Fluorescence index for measuring fluorescent dissolved organic matter (FDOM). Ratio of emission intensity at 470nm to intensity at 520nm at excitation 370nm.			
Fluorescence, dissolved organic carbon (DOC)	Fluorescence of dissolved organic carbon (DOC). DOC is an element specific fraction of dissolved organic matter (DOM).			
Fluorescence, dissolved organic matter (DOM)	Fluorescence of dissolved organic matter (DOM).			
Fluorescence, X-ray (XRF)	X-ray fluorescence (XRF) is the emission of characteristic "secondary" (or fluorescent) X-rays from a material that has been excited by bombarding with high-energy X-rays or gamma rays.			
Fluoride	Fluoride (F-)			
Fluoride, dissolved	Dissolved Fluoride (F-)			
Fluorine	Fluorine (F2)			
Fluorine, dissolved	Dissolved Fluorine (F2)			
Formate	Formate			
Formic acid	Formic acid (CH2O2)			
Frequency of Rotation	Number of rotations within a time period			
Friction velocity	Friction velocity			
Gadolinium	Gadolinium is a chemical element with symbol Gd and atomic number 64. Gadolinium is a silvery-white, malleable, and ductile rare earth metal. It is found in nature only in oxidized form, and even when separated, it usually has impurities of the other rare earths.			
Gadolinium, dissolved	Dissolved Gadolinium (Gd). "Dissolved " indicates a the measurement was made on a filtered sample.			
Gage height	Water level with regard to an arbitrary gage datum (also see Water depth for comparison)			Water Level
Gallium	Gallium is a chemical element with symbol Ga and atomic number 31. It is in group 13 of the periodic table, and thus has similarities to the other metals of the group, aluminium, indium, and thallium.			
Gamma counts	The radioactivity of rocks has been used for many years to help derive lithologies. Natural occurring radioactive materials (NORM) include the elements uranium, thorium, potassium, radium, and radon, along with the minerals that contain them. There is usually no fundamental connection between different rock types and measured gamma ray intensity, but there exists a strong general correlation between the radioactive isotope content and mineralogy. Logging tools have been developed to read the gamma rays emitted by these elements and interpret lithology from the information collected.			
Geologic unit	Geologic units consists primarily of identifying physiographic units and determining the rock lithology or coarse stratigraphy of exposed units.			
Germanium	Germanium is a chemical element with symbol Ge and atomic number 32. It is a lustrous, hard, grayish-white metalloid in the carbon group, chemically similar to its group neighbors tin and silicon. Pure germanium is a semiconductor with an appearance similar to elemental silicon. Like silicon, germanium naturally reacts and forms complexes with oxygen in nature.			
Germanium, dissolved	Dissolved Germanium (Ge). "Dissolved " indicates a the measurement was made on a filtered sample.			
Gibbsite	Gibbsite, Al(OH)3, is one of the mineral forms of aluminium hydroxide. It is often designated as γ-Al(OH)3 (but sometimes as α-Al(OH)3.[1]). It is also sometimes called hydrargillite (or hydrargyllite). 			
Global Radiation	Solar radiation, direct and diffuse, received from a solid angle of 2p steradians on a horizontal surface. Source: World Meteorological Organization, Meteoterm			
Glucosidase	Glucosidases are glycoside hydrolase enzymes categorized under the EC number 3.2.1.			
Glutaraldehyde	Glutaraldehyde (C5H8O2)			
Glutathione S-transferase, activity	Glutathione S-transferase (GST) activity			
Glutathione S-transferase, delta cycle threshold	Delta cycle threshold for glutathione S-transferase (gst). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for gst is the difference between the cycle threshold (Ct) of gst gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin).			
Goethite	Goethite, FeO(OH), is an iron-bearing hydroxide mineral of the diaspore group. It is found in soil and other low-temperature environments. 			
Grain size	Grain size (or particle size) is the diameter of individual grains of sediment, or the lithified particles in clastic rocks. The term may also be applied to other granular materials.			
Gross alpha radionuclides	Gross Alpha Radionuclides			
Gross beta radionuclides	Gross Beta Radionuclides			
Ground heat flux	Ground heat flux			
Groundwater depth	Groundwater depth is the distance between the water surface and the ground surface at a specific location specified by the site location and offset.			
Hafnium	Hafnium is a chemical element with symbol Hf and atomic number 72. A lustrous, silvery gray, tetravalent transition metal, hafnium chemically resembles zirconium and is found in many zirconium minerals.			
Hail	Hail is a form of solid precipitation. It is distinct from ice pellets (American English "sleet"), though the two are often confused. It consists of balls or irregular lumps of ice, each of which is called a hailstone.			
Halloysite	Halloysite is an aluminosilicate clay mineral with the empirical formula Al2Si2O5(OH)4. Its main constituents are aluminium (20.90%), silicon (21.76%) and hydrogen (1.56%).			
Hardness, Calcium	Hardness of calcium			
Hardness, carbonate	Carbonate hardness also known as temporary hardness			
Hardness, Magnesium	Hardness of magnesium			
Hardness, non-carbonate	Non-carbonate hardness			
Hardness, total	Total hardness			
Heat index	The combination effect of heat and humidity on the temperature felt by people.			
Height	Height is measure of vertical distance, either vertical extent or vertical position			
height, above sea floor	Vertical distance from the sea floor to a point.			
Helium	Helium			
Helium, dissolved	Dissolved Helium (He)			
Heptachlor	Heptachlor (C10H5Cl7)			
Heptachlor epoxide	Heptachlor epoxide (C10H5Cl7O)			
Hexachlorobenzene	Hexachlorobenzene (C6Cl6)			
Hexachlorobutadiene	Hexachlorobutadiene (C4Cl6)			
Hexachlorocyclopentadiene	Hexachlorocyclopentadiene (C5Cl6)			
Hexachloroethane	Hexachloroethane (C2Cl6)			
Hexane	Hexane			
Holmium	Holmium is a chemical element with symbol Ho and atomic number 67. Part of the lanthanide series, holmium is a rare-earth element. Holmium was discovered by Swedish chemist Per Theodor Cleve.			
Holmium, dissolved	Dissolved Holmium (Ho). "Dissolved " indicates a the measurement was made on a filtered sample.			
Host connected	A categorical variable marking the attachment of a host computer to a logger. This is used for quality control.			
Humification index	Humification index. Hummification is the processes by which organic matter decomposes to form humus. In humus the initial structures or shapes can no longer be recognized. See also humus.			
Hydraulic conductivity	Hydraulic conductivity, symbolically represented as K, is a property of vascular plants, soils and rocks, that describes the ease with which a fluid (usually water) can move through pore spaces or fractures. It depends on the intrinsic permeability of the material, the degree of saturation, and on the density and viscosity of the fluid.			
Hydrogen	Hydrogen			
Hydrogen sulfide	Hydrogen sulfide (H2S)			
Hydrogen, dissolved	Dissolved Hydrogen			
Hydrogen-2, stable isotope ratio delta	Difference in the 2H:1H ratio between the sample and standard			
Imaginary dielectric constant	Soil reponse of a reflected standing electromagnetic wave of a particular frequency which is related to the dissipation (or loss) of energy within the medium. This is the imaginary portion of the complex dielectric constant.			
Indeno(1,2,3-cd)pyrene	Indeno(1,2,3-cd)pyrene (C22H12)			
Indicator	Binary status to indicate the status of an instrument or other piece of equipment.			
Indium	Indium is a chemical element with symbol In and atomic number 49. It is a post-transition metal that makes up 0.21 parts per million of the Earth's crust. Very soft and malleable, indium has a melting point higher than sodium and gallium, but lower than lithium and tin.			
Instrument status code	Code value recorded by instrument indicating some information regarding the status of the instrument			
Intercept	The point at which one of the variables in a function equals 0.			
Iodide, dissolved	Dissolved Iodide (I-)			
Iron	Iron is a chemical element with symbol Fe (from Latin: ferrum) and atomic number 26. It is a metal in the first transition series.			
Iron sulfide	Iron sulfide (FeS2)			
Iron, dissolved	Dissolved Iron (Fe)			
Iron, ferric	Ferric Iron (Fe+3)			
Iron, ferrous	Ferrous Iron (Fe+2)			
Iron, particulate	Particulate iron (Fe) in suspension			
Iron, total	Total Iron (Fe)			
Isobutane	Isobutane			
Isobutyric acid	Isobutyric acid (C4H8O2)			
Isopentane	Isopentane			
Isophorone	Isophorone (C9H14O)			
Isopropyl alcohol	Isopropyl alcohol (C3H8O)			
Isopropylbenzene	Isopropylbenzene (C9H12)			
Iva frutescens coverage	Areal coverage of the plant Iva frutescens			
Lactic Acid	Lactic Acid (C3H6O3)			
Land classification	Geographical land classification- genetically homogeneous territorial unit within natural boundaries with a certain structure and a certain character of interrelationships of considered components			
Lanthanum	lanthanum is a chemical element with symbol La and atomic number 57. It is a soft, ductile, silvery-white metal that tarnishes rapidly when exposed to air and is soft enough to be cut with a knife.			
Lanthanum, dissolved	Dissolved Lanthanum (La). "Dissolved " indicates a the measurement was made on a filtered sample.			
Latent heat flux	Latent Heat Flux			
Latitude	Latitude as a variable measurement or observation (Spatial reference to be designated in methods).  This is distinct from the latitude of a site which is a site attribute.			
Lead	Lead is a chemical element with symbol Pb (from the Latin plumbum) and atomic number 82. It is a heavy metal that is denser than most common materials. Lead is soft and malleable, and has a relatively low melting point. When freshly cut, lead is silvery with a hint of blue; it tarnishes to a dull gray color when exposed to air. Lead has the highest atomic number of any stable element and three of its isotopes each conclude a major decay chain of heavier elements.			
Lead, dissolved	Dissolved Lead (Pb). For chemical terms, dissolved indicates a filtered sample			
Lead, distribution coefficient	Ratio of concentrations of lead in two phases in equilibrium with each other. Phases must be specified.			
Lead, particulate	Particulate lead (Pb) in suspension			
Lead, total	Total Lead (Pb). For chemical terms, total indicates an unfiltered sample.			
Lead-208	Stable isotope of lead. The term stable isotope has a meaning similar to stable nuclide, but is preferably used when speaking of nuclides of a specific element. Hence, the plural form stable isotopes usually refers to isotopes of the same element. The relative abundance of such stable isotopes can be measured experimentally (isotope analysis), yielding an isotope ratio that can be used as a research tool.			
Leaf area index (LAI)	Leaf area index (LAI) is a dimensionless quantity that characterizes plant canopies. It is defined as the one-sided green leaf area per unit ground surface area (LAI = leaf area / ground area, m2 / m2) in broadleaf canopies.			
Leaf wetness	The effect of moisture settling on the surface of a leaf as a result of either condensation or rainfall.			
Length	Length is a measure of distance.			
Light attenuation coefficient	Light attenuation coefficient			
Limonium nashii Coverage	Areal coverage of the plant Limonium nashii			
Lithium, dissolved	Dissolved Lithium (Li). For chemical terms, dissolved indicates a filtered sample.			
Lithium, total	Total Lithium (Li). For chemical terms, total indicates an unfiltered sample.			
Litter, plant	Litterfall, plant litter, leaf litter, tree litter, soil litter, or duff, is dead plant material (such as leaves, bark, needles, twigs, and cladodes) that have fallen to the ground.			
Liver, mass	Mass of the sample of liver tissue used for analyses			
Load, suspended	The suspended load of a flow of fluid, such as a river, is the portion of its sediment uplifted by the fluid's flow in the process of sediment transportation. It is kept suspended by the fluid's turbulence. The suspended load generally consists of smaller particles, like clay, silt, and fine sands.			
Logger stopped	A categorical variable indicating that a logger was told to stop recording data. This is used for quality control.			
Longitude	Longitude as a variable measurement or observation (Spatial reference to be designated in methods). This is distinct from the longitude of a site which is a site attribute.			
Loss on ignition	Loss on ignition is a test used in inorganic analytical chemistry, particularly in the analysis of minerals. It consists of strongly heating ("igniting") a sample of the material at a specified temperature, allowing volatile substances to escape, until its mass ceases to change.			
Low battery count	A counter of the number of times the battery voltage dropped below a minimum threshold			
LSI	Langelier Saturation Index is an indicator of the degree of saturation of water with respect to calcium carbonate			
Luminous Flux	A measure of the total amount of visible light present			
Lutetium	Lutetium is a chemical element with symbol Lu and atomic number 71. It is a silvery white metal, which resists corrosion in dry air, but not in moist air. Lutetium is the last element in the lanthanide series, and it is traditionally counted among the rare earths.			
Lutetium, dissolved	Dissolved Lutetium (Lu). "Dissolved " indicates a the measurement was made on a filtered sample.			
Lycium carolinianum Coverage	Areal coverage of the plant Lycium carolinianum			
Magnesium	Magnesium is a chemical element with symbol Mg and atomic number 12. It is a shiny gray solid which bears a close physical resemblance to the other five elements in the second column (Group 2, or alkaline earth metals) of the periodic table: they each have the same electron configuration in their outer electron shell producing a similar crystal structure.			
Magnesium, dissolved	Dissolved Magnesium (Mg)			
Magnesium, total	Total Magnesium (Mg)			
Malathion	Butanedioic acid, [(dimethoxyphosphinothioyl)thio]-, diethyl ester (C10H19O6PS2)			
Manganese	Manganese is a chemical element with symbol Mn and atomic number 25. It is not found as a free element in nature; it is often found in combination with iron, and in many minerals. Manganese is a metal with important industrial metal alloy uses, particularly in stainless steels.			
Manganese, dissolved	Dissolved Manganese (Mn)			
Manganese, particulate	Particulate manganese (Mn) in suspension			
Manganese, total	Total manganese (Mn). "Total" indicates was measured on a whole water (unfiltered) sample.			
Mass	Mass is a property of a physical body. It is generally a measure of an object's resistance to changing its state of motion when a force is applied.			
Melanovanadite	melanovanadite a mineral Ca2V10O25 that is a complex oxide of calcium and vanadium			
Mercury, dissolved	Dissolved Mercury (Hg). For chemical terms, dissolved indicates a filtered sample.			
Mercury, total	Total Mercury (Hg). For chemical terms, total represents an unfiltered sample.			
Methane	Methane (CH4)			
Methane, dissolved	Dissolved Methane (CH4)			
Methanol	Methanol (CH3OH)			
Methoxychlor	Methoxychlor (C16H15Cl3O2)			
Methyl tert-butyl ether (MTBE)	Methyl tert-butyl ether (MTBE) (C5H12O)			
Methylchrysene	Methylchrysene (C19H14)			
Methylene blue active substances	Methylene Blue Active Substances (MBAS)			
Methylene chloride (Dichloromethane)	Methylene chloride (Dichloromethane) (CH2Cl2)			
Methylfluoranthene	Methylfluoranthene (C17H12)			
Methylfluorene	Methylfluorene (C14H12)			
Methylmercury	Methylmercury (CH3Hg)			
Methylpyrene	Methylpyrene (C17H12)			
Mevinphos	Mevinphos (C7H13O6P)			
Mica	The mica group of sheet silicate minerals includes several closely related materials having nearly perfect basal cleavage. All are monoclinic, with a tendency towards pseudohexagonal crystals, and are similar in chemical composition.			
Michaelis constant	The Michaelis constant is the substrate concentration at which the reaction rate is half of Vmax. Vmax represents the maximum rate achieved by the system, at saturating substrate concentration			
Microsomal protein	The total protein concentration within the microsomal fraction of cells. Microsomes refer to vesicle-like artifacts reformed from pieces of endoplasmic reticulum when eukaryotic cells are broken up in a laboratory.			
Molbydenum, dissolved	Dissolved Molbydenum (Mo). For chemical terms, dissolved indicates a filtered sample.			
Molybdenum, dissolved	Dissolved Molybdenum (Mo). "Dissolved " indicates a the measurement was made on a filtered sample.			
Molybdenum, total	total Molybdenum (Mo). For chemical terms, total represents an unfiltered sample.			
Momentum flux	Momentum flux			
Monanthochloe littoralis Coverage	Areal coverage of the plant Monanthochloe littoralis			
N, albuminoid	Albuminoid Nitrogen			
n-alkane, C15	C15 alkane, normal (i.e. straight-chain) isomer, common name: n-Pentadecane, formula : C15H32			
n-alkane, C16	C16 alkane, normal (i.e. straight-chain) isomer, common name: n-Hexadecane, formula: C16H34. Synonym: cetane			
n-alkane, C17	C17 alkane, normal (i.e. straight-chain) isomer, common name: n-Heptadecane, formula : C17H36			
n-alkane, C18	C18 alkane, normal (i.e. straight-chain) isomer, common name: n-Octadecane, formula : C18H38			
n-alkane, C19	C19 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonadecane, formula : C19H40			
n-alkane, C20	C20 alkane, normal (i.e. straight-chain) isomer, common name: n-Icosane, formula : C20H42. Synonyms: didecyl, eicosane.			
n-alkane, C21	C21 alkane, normal (i.e. straight-chain) isomer, common name: n-Henicosane, formula : C21H44.			
n-alkane, C22	C22 alkane, normal (i.e. straight-chain) isomer, common name: n-Docosane, formula : C22H46			
n-alkane, C23	C23 alkane, normal (i.e. straight-chain) isomer, common name: n-Tricosane, formula : C23H48			
n-alkane, C24	C24 alkane, normal (i.e. straight-chain) isomer, common name: n-Tetracosane, formula : C24H50			
n-alkane, C25	C25 alkane, normal (i.e. straight-chain) isomer, common name: n-Pentacosane, formula : C25H52			
n-alkane, C26	C26 alkane, normal (i.e. straight-chain) isomer, common name: n-Hexacosane, formula : C26H54, synonyms: cerane, hexeikosane			
n-alkane, C27	C27 alkane, normal (i.e. straight-chain) isomer, common name: n-Heptacosane, formula : C27H56			
n-alkane, C28	C28 alkane, normal (i.e. straight-chain) isomer, common name: n-Octacosane, formula : C28H58			
n-alkane, C29	C29 alkane, normal (i.e. straight-chain) isomer, common name: n-Nonacosane, formula : C29H60			
n-alkane, C30	C30 alkane, normal (i.e. straight-chain) isomer, common name: n-Triacontane, formula : C30H62			
n-alkane, C31	C31 alkane,normal (i.e. straight-chain) isomer, common name: n-Hentriacontane, formula : C31H64, Synonym: untriacontane			
n-alkane, C32	C32 alkane, normal (i.e. straight-chain) isomer, common name: n-Dotriacontane, formula : C32H66, Synonym: dicetyl			
n-alkane, C33	C33 alkane, (i.e. straight-chain) isomer, common name: n-Tritriacontane, formula : C33H68			
n-alkane, long-chain	long-chain alkanes, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)			
n-alkane, short-chain	short-chain alkanes, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)			
n-alkane, total	Total alkane, normal (i.e. straight chain) isomer (isomer range of alkanes measured should be specified)			
N-Nitrosodi-n-butylamine	N-Nitrosodi-n-butylamine (C8H18N2O)			
